"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R3,R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"4K7";;;
2;"U1";"DIP-24_W15.24mm";1;"2364A";;;
3;"U2";"DIP-28_W15.24mm";1;"27C512";;;
4;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
